[08:16:34] INFO: [32mPreparing to start...[0m
[08:16:34] INFO: [32mSocat not enabled[0m
[08:16:34] ERROR: [35mGot unexpected response from the API: Service not enabled[0m
[08:16:34] ERROR: [35mFailed to get services from Supervisor API[0m
[08:16:34] INFO: [32mStarting Zigbee2MQTT...[0m
Starting Zigbee2MQTT without watchdog.
[2026-09-02 08:16:36] [32minfo[39m: 	z2m: Logging to console, file (filename: log.log)
[2026-09-02 08:53:46] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallBreakerMain', payload '{"current_a":0,"current_b":1.236,"current_c":0,"device":{"applicationVersion":74,"dateCode":"","friendlyName":"HallBreakerMain","hardwareVersion":1,"ieeeAddr":"0xa4c1381647fb6fe1","manufacturerID":4417,"manufacturerName":"_TZE204_wbhaespm","model":"ZXB3-125","networkAddress":23144,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":758.06,"faults":[],"high_temperature_breaker":null,"high_temperature_threshold":null,"insufficient_balance_breaker":null,"insufficient_balance_threshold":null,"leakage_breaker":null,"leakage_test":null,"leakage_threshold":null,"linkquality":108,"over_current_breaker":null,"over_current_threshold":null,"over_voltage_breaker":null,"over_voltage_threshold":null,"overload_breaker":null,"overload_threshold":null,"power_a":0,"power_b":147,"power_c":0,"state":"ON","temperature":21,"under_voltage_breaker":null,"under_voltage_threshold":null,"voltage_a":241.5,"voltage_b":240.3,"voltage_c":237.3}'
[2026-09-02 08:53:46] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/BedroomCabinetHumidityTempL0', payload '{"battery":107,"device":{"applicationVersion":72,"dateCode":"","friendlyName":"BedroomCabinetHumidityTempL0","hardwareVersion":1,"ieeeAddr":"0xa4c138a67b88f8ac","manufacturerID":4417,"manufacturerName":"_TZE200_locansqn","model":"TH01Z","networkAddress":1207,"powerSource":"Battery","stackVersion":0,"type":"EndDevice","zclVersion":3},"humidity":57,"humidity_alarm":null,"humidity_report_interval":120,"humidity_sensitivity":6,"linkquality":120,"max_humidity":69,"max_temperature":39,"min_humidity":20,"min_temperature":0,"temperature":22.8,"temperature_alarm":null,"temperature_report_interval":120,"temperature_sensitivity":0.6,"temperature_unit_convert":"celsius"}'
[2026-09-02 08:53:47] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallBreakerKitchenInduction', payload '{"current_a":0,"current_b":0,"current_c":0,"device":{"applicationVersion":74,"dateCode":"","friendlyName":"HallBreakerKitchenInduction","hardwareVersion":1,"ieeeAddr":"0xa4c138278695ef31","manufacturerID":4417,"manufacturerName":"_TZE204_wbhaespm","model":"ZXB3-125","networkAddress":36651,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":180.92,"faults":[],"high_temperature_breaker":null,"high_temperature_threshold":null,"insufficient_balance_breaker":null,"insufficient_balance_threshold":null,"leakage_breaker":null,"leakage_test":null,"leakage_threshold":null,"linkquality":100,"over_current_breaker":null,"over_current_threshold":null,"over_voltage_breaker":null,"over_voltage_threshold":null,"overload_breaker":null,"overload_threshold":null,"power_a":0,"power_b":0,"power_c":0,"state":"ON","temperature":25,"under_voltage_breaker":null,"under_voltage_threshold":null,"voltage_a":242.1,"voltage_b":241.3,"voltage_c":239.3}'
[2026-09-02 08:53:51] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/BedroomCabinetHumidityTempL0', payload '{"battery":107,"device":{"applicationVersion":72,"dateCode":"","friendlyName":"BedroomCabinetHumidityTempL0","hardwareVersion":1,"ieeeAddr":"0xa4c138a67b88f8ac","manufacturerID":4417,"manufacturerName":"_TZE200_locansqn","model":"TH01Z","networkAddress":1207,"powerSource":"Battery","stackVersion":0,"type":"EndDevice","zclVersion":3},"humidity":57,"humidity_alarm":null,"humidity_report_interval":120,"humidity_sensitivity":6,"linkquality":120,"max_humidity":69,"max_temperature":39,"min_humidity":20,"min_temperature":0,"temperature":22.8,"temperature_alarm":null,"temperature_report_interval":120,"temperature_sensitivity":0.6,"temperature_unit_convert":"celsius"}'
[2026-09-02 08:53:52] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallBreakerMain', payload '{"current_a":0,"current_b":1.111,"current_c":0,"device":{"applicationVersion":74,"dateCode":"","friendlyName":"HallBreakerMain","hardwareVersion":1,"ieeeAddr":"0xa4c1381647fb6fe1","manufacturerID":4417,"manufacturerName":"_TZE204_wbhaespm","model":"ZXB3-125","networkAddress":23144,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":758.06,"faults":[],"high_temperature_breaker":null,"high_temperature_threshold":null,"insufficient_balance_breaker":null,"insufficient_balance_threshold":null,"leakage_breaker":null,"leakage_test":null,"leakage_threshold":null,"linkquality":96,"over_current_breaker":null,"over_current_threshold":null,"over_voltage_breaker":null,"over_voltage_threshold":null,"overload_breaker":null,"overload_threshold":null,"power_a":0,"power_b":102,"power_c":0,"state":"ON","temperature":21,"under_voltage_breaker":null,"under_voltage_threshold":null,"voltage_a":241.5,"voltage_b":240.6,"voltage_c":237.3}'
[2026-09-02 08:53:53] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallBreakerMain', payload '{"current_a":0,"current_b":1.111,"current_c":0,"device":{"applicationVersion":74,"dateCode":"","friendlyName":"HallBreakerMain","hardwareVersion":1,"ieeeAddr":"0xa4c1381647fb6fe1","manufacturerID":4417,"manufacturerName":"_TZE204_wbhaespm","model":"ZXB3-125","networkAddress":23144,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":758.06,"faults":[],"high_temperature_breaker":null,"high_temperature_threshold":null,"insufficient_balance_breaker":null,"insufficient_balance_threshold":null,"leakage_breaker":null,"leakage_test":null,"leakage_threshold":null,"linkquality":96,"over_current_breaker":null,"over_current_threshold":null,"over_voltage_breaker":null,"over_voltage_threshold":null,"overload_breaker":null,"overload_threshold":null,"power_a":0,"power_b":102,"power_c":0,"state":"ON","temperature":21,"under_voltage_breaker":null,"under_voltage_threshold":null,"voltage_a":241.5,"voltage_b":240.6,"voltage_c":237.3}'
[2026-09-02 08:53:54] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallBreakerMain', payload '{"current_a":0,"current_b":1.111,"current_c":0,"device":{"applicationVersion":74,"dateCode":"","friendlyName":"HallBreakerMain","hardwareVersion":1,"ieeeAddr":"0xa4c1381647fb6fe1","manufacturerID":4417,"manufacturerName":"_TZE204_wbhaespm","model":"ZXB3-125","networkAddress":23144,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":758.06,"faults":[],"high_temperature_breaker":null,"high_temperature_threshold":null,"insufficient_balance_breaker":null,"insufficient_balance_threshold":null,"leakage_breaker":null,"leakage_test":null,"leakage_threshold":null,"linkquality":88,"over_current_breaker":null,"over_current_threshold":null,"over_voltage_breaker":null,"over_voltage_threshold":null,"overload_breaker":null,"overload_threshold":null,"power_a":0,"power_b":102,"power_c":0,"state":"ON","temperature":21,"under_voltage_breaker":null,"under_voltage_threshold":null,"voltage_a":241.5,"voltage_b":240.6,"voltage_c":237.3}'
[2026-09-02 08:53:54] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallBreakerKitchenInduction', payload '{"current_a":0,"current_b":0,"current_c":0,"device":{"applicationVersion":74,"dateCode":"","friendlyName":"HallBreakerKitchenInduction","hardwareVersion":1,"ieeeAddr":"0xa4c138278695ef31","manufacturerID":4417,"manufacturerName":"_TZE204_wbhaespm","model":"ZXB3-125","networkAddress":36651,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":180.92,"faults":[],"high_temperature_breaker":null,"high_temperature_threshold":null,"insufficient_balance_breaker":null,"insufficient_balance_threshold":null,"leakage_breaker":null,"leakage_test":null,"leakage_threshold":null,"linkquality":88,"over_current_breaker":null,"over_current_threshold":null,"over_voltage_breaker":null,"over_voltage_threshold":null,"overload_breaker":null,"overload_threshold":null,"power_a":0,"power_b":0,"power_c":0,"state":"ON","temperature":25,"under_voltage_breaker":null,"under_voltage_threshold":null,"voltage_a":242.1,"voltage_b":241.3,"voltage_c":239.3}'
[2026-09-02 08:53:54] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallCabinetPIR', payload '{"battery":20,"device":{"applicationVersion":151,"dateCode":"29122025","friendlyName":"HallCabinetPIR","hardwareVersion":1,"ieeeAddr":"0xa4c1385bc54e54bf","manufacturerID":4742,"manufacturerName":"HOBEIAN","model":"ZG-204ZV","networkAddress":24977,"powerSource":"Battery","softwareBuildID":"0129122025","stackVersion":2,"type":"EndDevice","zclVersion":3},"fading_time":null,"humidity":56,"humidity_calibration":0,"illuminance":238,"illuminance_interval":null,"indicator":"OFF","linkquality":88,"motion_detection_sensitivity":null,"presence":false,"temperature":21.8,"temperature_calibration":0,"temperature_unit":"celsius"}'
[2026-09-02 08:53:54] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallCabinetPIR', payload '{"battery":20,"device":{"applicationVersion":151,"dateCode":"29122025","friendlyName":"HallCabinetPIR","hardwareVersion":1,"ieeeAddr":"0xa4c1385bc54e54bf","manufacturerID":4742,"manufacturerName":"HOBEIAN","model":"ZG-204ZV","networkAddress":24977,"powerSource":"Battery","softwareBuildID":"0129122025","stackVersion":2,"type":"EndDevice","zclVersion":3},"fading_time":null,"humidity":56,"humidity_calibration":0,"illuminance":239,"illuminance_interval":null,"indicator":"OFF","linkquality":100,"motion_detection_sensitivity":null,"presence":false,"temperature":21.8,"temperature_calibration":0,"temperature_unit":"celsius"}'
[2026-09-02 08:53:55] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallBreakerKitchenInduction', payload '{"current_a":0,"current_b":0,"current_c":0,"device":{"applicationVersion":74,"dateCode":"","friendlyName":"HallBreakerKitchenInduction","hardwareVersion":1,"ieeeAddr":"0xa4c138278695ef31","manufacturerID":4417,"manufacturerName":"_TZE204_wbhaespm","model":"ZXB3-125","networkAddress":36651,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":180.92,"faults":[],"high_temperature_breaker":null,"high_temperature_threshold":null,"insufficient_balance_breaker":null,"insufficient_balance_threshold":null,"leakage_breaker":null,"leakage_test":null,"leakage_threshold":null,"linkquality":104,"over_current_breaker":null,"over_current_threshold":null,"over_voltage_breaker":null,"over_voltage_threshold":null,"overload_breaker":null,"overload_threshold":null,"power_a":0,"power_b":0,"power_c":0,"state":"ON","temperature":25,"under_voltage_breaker":null,"under_voltage_threshold":null,"voltage_a":242.1,"voltage_b":241.3,"voltage_c":239.3}'
[2026-09-02 08:53:55] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallCabinetPIR', payload '{"battery":20,"device":{"applicationVersion":151,"dateCode":"29122025","friendlyName":"HallCabinetPIR","hardwareVersion":1,"ieeeAddr":"0xa4c1385bc54e54bf","manufacturerID":4742,"manufacturerName":"HOBEIAN","model":"ZG-204ZV","networkAddress":24977,"powerSource":"Battery","softwareBuildID":"0129122025","stackVersion":2,"type":"EndDevice","zclVersion":3},"fading_time":null,"humidity":56,"humidity_calibration":0,"illuminance":239,"illuminance_interval":null,"indicator":"OFF","linkquality":108,"motion_detection_sensitivity":null,"presence":false,"temperature":21.8,"temperature_calibration":0,"temperature_unit":"celsius"}'
[2026-09-02 08:53:56] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallBreakerMain', payload '{"current_a":0,"current_b":1.111,"current_c":0,"device":{"applicationVersion":74,"dateCode":"","friendlyName":"HallBreakerMain","hardwareVersion":1,"ieeeAddr":"0xa4c1381647fb6fe1","manufacturerID":4417,"manufacturerName":"_TZE204_wbhaespm","model":"ZXB3-125","networkAddress":23144,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":758.06,"faults":[],"high_temperature_breaker":null,"high_temperature_threshold":null,"insufficient_balance_breaker":null,"insufficient_balance_threshold":null,"leakage_breaker":null,"leakage_test":null,"leakage_threshold":null,"linkquality":100,"over_current_breaker":null,"over_current_threshold":null,"over_voltage_breaker":null,"over_voltage_threshold":null,"overload_breaker":null,"overload_threshold":null,"power_a":0,"power_b":102,"power_c":0,"state":"ON","temperature":21,"under_voltage_breaker":null,"under_voltage_threshold":null,"voltage_a":241.5,"voltage_b":240.6,"voltage_c":237.3}'
[2026-09-02 08:53:56] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/BedroomCabinetHumidityTempL0', payload '{"battery":107,"device":{"applicationVersion":72,"dateCode":"","friendlyName":"BedroomCabinetHumidityTempL0","hardwareVersion":1,"ieeeAddr":"0xa4c138a67b88f8ac","manufacturerID":4417,"manufacturerName":"_TZE200_locansqn","model":"TH01Z","networkAddress":1207,"powerSource":"Battery","stackVersion":0,"type":"EndDevice","zclVersion":3},"humidity":57,"humidity_alarm":null,"humidity_report_interval":120,"humidity_sensitivity":6,"linkquality":120,"max_humidity":69,"max_temperature":39,"min_humidity":20,"min_temperature":0,"temperature":22.8,"temperature_alarm":null,"temperature_report_interval":120,"temperature_sensitivity":0.6,"temperature_unit_convert":"celsius"}'
[2026-09-02 08:53:57] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/KitchenSocketFridge', payload '{"child_lock":"UNLOCK","countdown":0,"current":0.02,"device":{"applicationVersion":112,"friendlyName":"KitchenSocketFridge","hardwareVersion":0,"ieeeAddr":"0xa4c138460c83974f","manufacturerID":4107,"manufacturerName":"_TZ3000_cehuw1lw","model":"TS011F_plug_3","networkAddress":30791,"powerSource":"Mains (single phase)","softwareBuildID":"1.0.5\u0000","stackVersion":2,"type":"Router","zclVersion":3},"energy":88.91,"indicator_mode":"off/on","linkquality":136,"power":1,"power_outage_memory":"on","state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":237}'
[2026-09-02 08:53:57] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallBreakerKitchenInduction', payload '{"current_a":0,"current_b":0,"current_c":0,"device":{"applicationVersion":74,"dateCode":"","friendlyName":"HallBreakerKitchenInduction","hardwareVersion":1,"ieeeAddr":"0xa4c138278695ef31","manufacturerID":4417,"manufacturerName":"_TZE204_wbhaespm","model":"ZXB3-125","networkAddress":36651,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":180.92,"faults":[],"high_temperature_breaker":null,"high_temperature_threshold":null,"insufficient_balance_breaker":null,"insufficient_balance_threshold":null,"leakage_breaker":null,"leakage_test":null,"leakage_threshold":null,"linkquality":104,"over_current_breaker":null,"over_current_threshold":null,"over_voltage_breaker":null,"over_voltage_threshold":null,"overload_breaker":null,"overload_threshold":null,"power_a":0,"power_b":0,"power_c":0,"state":"ON","temperature":25,"under_voltage_breaker":null,"under_voltage_threshold":null,"voltage_a":242.1,"voltage_b":241.3,"voltage_c":239.3}'
[2026-09-02 08:53:57] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/KitchenSocketFridge', payload '{"child_lock":"UNLOCK","countdown":0,"current":0.02,"device":{"applicationVersion":112,"friendlyName":"KitchenSocketFridge","hardwareVersion":0,"ieeeAddr":"0xa4c138460c83974f","manufacturerID":4107,"manufacturerName":"_TZ3000_cehuw1lw","model":"TS011F_plug_3","networkAddress":30791,"powerSource":"Mains (single phase)","softwareBuildID":"1.0.5\u0000","stackVersion":2,"type":"Router","zclVersion":3},"energy":88.91,"indicator_mode":"off/on","linkquality":136,"power":1,"power_outage_memory":"on","state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":237}'
[2026-09-02 08:53:57] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallCabinetPIR', payload '{"battery":20,"device":{"applicationVersion":151,"dateCode":"29122025","friendlyName":"HallCabinetPIR","hardwareVersion":1,"ieeeAddr":"0xa4c1385bc54e54bf","manufacturerID":4742,"manufacturerName":"HOBEIAN","model":"ZG-204ZV","networkAddress":24977,"powerSource":"Battery","softwareBuildID":"0129122025","stackVersion":2,"type":"EndDevice","zclVersion":3},"fading_time":null,"humidity":56,"humidity_calibration":0,"illuminance":239,"illuminance_interval":null,"indicator":"OFF","linkquality":80,"motion_detection_sensitivity":null,"presence":true,"temperature":21.8,"temperature_calibration":0,"temperature_unit":"celsius"}'
[2026-09-02 08:53:57] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallBreakerMain', payload '{"current_a":0,"current_b":1.111,"current_c":0,"device":{"applicationVersion":74,"dateCode":"","friendlyName":"HallBreakerMain","hardwareVersion":1,"ieeeAddr":"0xa4c1381647fb6fe1","manufacturerID":4417,"manufacturerName":"_TZE204_wbhaespm","model":"ZXB3-125","networkAddress":23144,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":758.06,"faults":[],"high_temperature_breaker":null,"high_temperature_threshold":null,"insufficient_balance_breaker":null,"insufficient_balance_threshold":null,"leakage_breaker":null,"leakage_test":null,"leakage_threshold":null,"linkquality":80,"over_current_breaker":null,"over_current_threshold":null,"over_voltage_breaker":null,"over_voltage_threshold":null,"overload_breaker":null,"overload_threshold":null,"power_a":0,"power_b":102,"power_c":0,"state":"ON","temperature":25,"under_voltage_breaker":null,"under_voltage_threshold":null,"voltage_a":241.5,"voltage_b":240.6,"voltage_c":237.3}'
[2026-09-02 08:53:58] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallEntranceIlluminance', payload '{"battery":50,"device":{"applicationVersion":151,"dateCode":"26022026","friendlyName":"HallEntranceIlluminance","hardwareVersion":1,"ieeeAddr":"0xa4c1386c6faff53b","manufacturerID":4742,"manufacturerName":"HOBEIAN","model":"ZG-106Z","networkAddress":28272,"powerSource":"Battery","softwareBuildID":"0126022026","stackVersion":2,"type":"EndDevice","zclVersion":3},"illuminance":17,"linkquality":104,"voltage":2700}'
[2026-09-02 08:53:58] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallCabinetPIR', payload '{"battery":20,"device":{"applicationVersion":151,"dateCode":"29122025","friendlyName":"HallCabinetPIR","hardwareVersion":1,"ieeeAddr":"0xa4c1385bc54e54bf","manufacturerID":4742,"manufacturerName":"HOBEIAN","model":"ZG-204ZV","networkAddress":24977,"powerSource":"Battery","softwareBuildID":"0129122025","stackVersion":2,"type":"EndDevice","zclVersion":3},"fading_time":null,"humidity":56,"humidity_calibration":0,"illuminance":193,"illuminance_interval":null,"indicator":"OFF","linkquality":96,"motion_detection_sensitivity":null,"presence":true,"temperature":21.8,"temperature_calibration":0,"temperature_unit":"celsius"}'
[2026-09-02 08:53:58] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallCabinetPIR', payload '{"battery":20,"device":{"applicationVersion":151,"dateCode":"29122025","friendlyName":"HallCabinetPIR","hardwareVersion":1,"ieeeAddr":"0xa4c1385bc54e54bf","manufacturerID":4742,"manufacturerName":"HOBEIAN","model":"ZG-204ZV","networkAddress":24977,"powerSource":"Battery","softwareBuildID":"0129122025","stackVersion":2,"type":"EndDevice","zclVersion":3},"fading_time":null,"humidity":56,"humidity_calibration":0,"illuminance":193,"illuminance_interval":null,"indicator":"OFF","linkquality":72,"motion_detection_sensitivity":null,"presence":true,"temperature":21.8,"temperature_calibration":0,"temperature_unit":"celsius"}'
[2026-09-02 08:53:59] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallPIRAdvanced', payload '{"battery":null,"battery_low":false,"device":{"friendlyName":"HallPIRAdvanced","ieeeAddr":"0xa4c138b7eca277e9","manufacturerID":4417,"manufacturerName":"_TZ3040_o4mkahkc","model":"ZP01","networkAddress":15748,"powerSource":"Battery","type":"EndDevice"},"linkquality":140,"occupancy":true,"tamper":false,"voltage":null}'
[2026-09-02 08:53:59] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallPIRSensorEntrance', payload '{"battery":100,"device":{"applicationVersion":145,"friendlyName":"HallPIRSensorEntrance","hardwareVersion":1,"ieeeAddr":"0xa4c138adb5fa215f","manufacturerID":4742,"manufacturerName":"_TZE200_3towulqd","model":"ZG-204ZL","networkAddress":19016,"powerSource":"Battery","softwareBuildID":"0122052017","stackVersion":2,"type":"EndDevice","zclVersion":3},"illuminance":1935,"illuminance_interval":60,"keep_time":"10","linkquality":96,"occupancy":true,"sensitivity":"high"}'
[2026-09-02 08:54:00] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallPIRSensorEntrance', payload '{"battery":100,"device":{"applicationVersion":145,"friendlyName":"HallPIRSensorEntrance","hardwareVersion":1,"ieeeAddr":"0xa4c138adb5fa215f","manufacturerID":4742,"manufacturerName":"_TZE200_3towulqd","model":"ZG-204ZL","networkAddress":19016,"powerSource":"Battery","softwareBuildID":"0122052017","stackVersion":2,"type":"EndDevice","zclVersion":3},"illuminance":1932,"illuminance_interval":60,"keep_time":"10","linkquality":92,"occupancy":true,"sensitivity":"high"}'
[2026-09-02 08:54:01] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallPIRSensorMain', payload '{"battery":100,"battery_low":false,"device":{"applicationVersion":75,"dateCode":"","friendlyName":"HallPIRSensorMain","hardwareVersion":1,"ieeeAddr":"0xa4c13812aebbdaa0","manufacturerID":4417,"manufacturerName":"_TZ3040_o4mkahkc","model":"ZP01","networkAddress":24729,"powerSource":"Battery","stackVersion":0,"type":"EndDevice","zclVersion":3},"linkquality":132,"occupancy":true,"tamper":false,"voltage":2900}'
[2026-09-02 08:54:01] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/KitchenSocketDishwasher', payload '{"child_lock":"UNLOCK","countdown":0,"current":0,"device":{"applicationVersion":112,"friendlyName":"KitchenSocketDishwasher","hardwareVersion":0,"ieeeAddr":"0xa4c1382292dbe653","manufacturerID":4107,"manufacturerName":"_TZ3000_cehuw1lw","model":"TS011F_plug_3","networkAddress":4926,"powerSource":"Mains (single phase)","softwareBuildID":"1.0.5\u0000","stackVersion":2,"type":"Router","zclVersion":3},"energy":43.16,"indicator_mode":"off/on","linkquality":132,"power":0,"power_outage_memory":"restore","state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":236}'
[2026-09-02 08:54:02] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallPIRSensorBedroomAdvanced', payload '{"battery":30,"device":{"applicationVersion":151,"dateCode":"05012026","friendlyName":"HallPIRSensorBedroomAdvanced","hardwareVersion":1,"ieeeAddr":"0xa4c138da26407e17","manufacturerID":4742,"manufacturerName":"HOBEIAN","model":"ZG-204ZM","networkAddress":33893,"powerSource":"Battery","softwareBuildID":"0105012026","stackVersion":2,"type":"EndDevice","zclVersion":3},"fading_time":10,"illuminance":2806,"indicator":"ON","linkquality":140,"motion_detection_mode":"pir_and_radar","motion_detection_sensitivity":4,"motion_state":"none","presence":true,"static_detection_distance":3,"static_detection_sensitivity":4}'
[2026-09-02 08:54:02] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/BedroomCabinetHumidityTempL0', payload '{"battery":107,"device":{"applicationVersion":72,"dateCode":"","friendlyName":"BedroomCabinetHumidityTempL0","hardwareVersion":1,"ieeeAddr":"0xa4c138a67b88f8ac","manufacturerID":4417,"manufacturerName":"_TZE200_locansqn","model":"TH01Z","networkAddress":1207,"powerSource":"Battery","stackVersion":0,"type":"EndDevice","zclVersion":3},"humidity":57,"humidity_alarm":null,"humidity_report_interval":120,"humidity_sensitivity":6,"linkquality":124,"max_humidity":69,"max_temperature":39,"min_humidity":20,"min_temperature":0,"temperature":22.8,"temperature_alarm":null,"temperature_report_interval":120,"temperature_sensitivity":0.6,"temperature_unit_convert":"celsius"}'
[2026-09-02 08:54:02] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/KitchenSocketDishwasher', payload '{"child_lock":"UNLOCK","countdown":0,"current":0,"device":{"applicationVersion":112,"friendlyName":"KitchenSocketDishwasher","hardwareVersion":0,"ieeeAddr":"0xa4c1382292dbe653","manufacturerID":4107,"manufacturerName":"_TZ3000_cehuw1lw","model":"TS011F_plug_3","networkAddress":4926,"powerSource":"Mains (single phase)","softwareBuildID":"1.0.5\u0000","stackVersion":2,"type":"Router","zclVersion":3},"energy":43.16,"indicator_mode":"off/on","linkquality":140,"power":0,"power_outage_memory":"restore","state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":236}'
[2026-09-02 08:54:02] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallPIRSensorBedroomAdvanced', payload '{"battery":30,"device":{"applicationVersion":151,"dateCode":"05012026","friendlyName":"HallPIRSensorBedroomAdvanced","hardwareVersion":1,"ieeeAddr":"0xa4c138da26407e17","manufacturerID":4742,"manufacturerName":"HOBEIAN","model":"ZG-204ZM","networkAddress":33893,"powerSource":"Battery","softwareBuildID":"0105012026","stackVersion":2,"type":"EndDevice","zclVersion":3},"fading_time":10,"illuminance":2806,"indicator":"ON","linkquality":148,"motion_detection_mode":"pir_and_radar","motion_detection_sensitivity":4,"motion_state":"large","presence":true,"static_detection_distance":3,"static_detection_sensitivity":4}'
[2026-09-02 08:54:02] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallPIRSensorMain', payload '{"battery":100,"battery_low":false,"device":{"applicationVersion":75,"dateCode":"","friendlyName":"HallPIRSensorMain","hardwareVersion":1,"ieeeAddr":"0xa4c13812aebbdaa0","manufacturerID":4417,"manufacturerName":"_TZ3040_o4mkahkc","model":"ZP01","networkAddress":24729,"powerSource":"Battery","stackVersion":0,"type":"EndDevice","zclVersion":3},"linkquality":140,"occupancy":true,"tamper":false,"voltage":2900}'
[2026-09-02 08:54:02] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallPIRSensorBedroomAdvanced', payload '{"battery":30,"device":{"applicationVersion":151,"dateCode":"05012026","friendlyName":"HallPIRSensorBedroomAdvanced","hardwareVersion":1,"ieeeAddr":"0xa4c138da26407e17","manufacturerID":4742,"manufacturerName":"HOBEIAN","model":"ZG-204ZM","networkAddress":33893,"powerSource":"Battery","softwareBuildID":"0105012026","stackVersion":2,"type":"EndDevice","zclVersion":3},"fading_time":10,"illuminance":2813,"indicator":"ON","linkquality":144,"motion_detection_mode":"pir_and_radar","motion_detection_sensitivity":4,"motion_state":"large","presence":true,"static_detection_distance":3,"static_detection_sensitivity":4}'
[2026-09-02 08:54:02] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallPIRSensorBedroomAdvanced', payload '{"battery":30,"device":{"applicationVersion":151,"dateCode":"05012026","friendlyName":"HallPIRSensorBedroomAdvanced","hardwareVersion":1,"ieeeAddr":"0xa4c138da26407e17","manufacturerID":4742,"manufacturerName":"HOBEIAN","model":"ZG-204ZM","networkAddress":33893,"powerSource":"Battery","softwareBuildID":"0105012026","stackVersion":2,"type":"EndDevice","zclVersion":3},"fading_time":10,"illuminance":2808,"indicator":"ON","linkquality":140,"motion_detection_mode":"pir_and_radar","motion_detection_sensitivity":4,"motion_state":"large","presence":true,"static_detection_distance":3,"static_detection_sensitivity":4}'
